CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-02-01 00:00,mm,68.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-03-01 00:00,mm,93.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-04-01 00:00,mm,315.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-05-01 00:00,mm,112.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-06-01 00:00,mm,4.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-07-01 00:00,mm,28,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-08-01 00:00,mm,37.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-09-01 00:00,mm,62.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-10-01 00:00,mm,107.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-11-01 00:00,mm,144.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1983-12-01 00:00,mm,88.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-01-01 00:00,mm,55.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-02-01 00:00,mm,290.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-03-01 00:00,mm,64.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-04-01 00:00,mm,197.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-05-01 00:00,mm,298.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-06-01 00:00,mm,79.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-08-01 00:00,mm,104.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-09-01 00:00,mm,265.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-10-01 00:00,mm,126.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1984-11-01 00:00,mm,270.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-01-01 00:00,mm,0,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-02-01 00:00,mm,25.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-03-01 00:00,mm,40.1,Definitivo
